PlayerName,Team,PlayerNumber,GamesPlayed,GamesStarted,StartingPercentage,TotalPoints,AvgPointsPerGame,1PMadeShots,2PMadeShots,3PMadeShots,TotalFieldGoalsMade,AvgShotsPerGame,PointsPerShot,FTAttempts,FTMakes,FTPercentage,TotalFouls,AvgFoulsPerGame,PFouls,P1Fouls,P2Fouls,P3Fouls,T1Fouls,U1Fouls,U2Fouls,U3Fouls,GDFouls
ATTAMNY Yanis,Kordall Steelers B,5,3,3,100.0,34,11.33,4,9,5,18,6.0,1.89,0,0,0.0,5,1.67,1,0,2,1,0,0,1,0,0
KOCAN Aldin,T71 Dudelange C,6,4,4,100.0,34,8.5,8,13,0,21,5.25,1.62,4,2,50.0,14,3.5,6,1,6,0,0,0,1,0,0
KNEIP Francis,Black Frogs Schieren B,12,4,3,75.0,34,8.5,5,13,1,19,4.75,1.79,6,3,50.0,8,2.0,3,0,4,0,0,0,1,0,0
THESEN Joel,US Heffingen C,4,2,2,100.0,34,17.0,5,13,1,19,9.5,1.79,1,1,100.0,3,1.5,3,0,0,0,0,0,0,0,0
TSHILUMBA Daniel,Bascharage Hedgehogs B,5,4,4,100.0,34,8.5,6,8,4,18,4.5,1.89,3,2,66.7,11,2.75,5,1,4,1,0,0,0,0,0
MAYS Gregory Lydell,Sparta Bertrange,15,2,1,50.0,34,17.0,8,13,0,21,10.5,1.62,2,1,50.0,7,3.5,2,0,3,0,0,0,2,0,0
SCHUMACHER Jeffrey Nicolas Jamal,AB Contern,7,7,1,14.3,34,4.86,5,13,1,19,2.71,1.79,4,2,50.0,15,2.14,1,3,11,0,0,0,0,0,0
BOURGEOIS Lee,US Heffingen,9,7,0,0.0,34,4.86,7,12,1,20,2.86,1.7,2,1,50.0,11,1.57,5,2,4,0,0,0,0,0,0
REUTER Philippe,Musel Pikes B,13,5,4,80.0,33,6.6,5,14,0,19,3.8,1.74,0,0,0.0,12,2.4,4,1,6,1,0,0,0,0,0
BRIWA Florian,BBC Käldall,5,2,2,100.0,33,16.5,2,12,3,17,8.5,1.94,0,0,0.0,7,3.5,4,0,3,0,0,0,0,0,0
ECO Dzenan,Bascharage Hedgehogs,14,7,4,57.1,33,4.71,5,14,0,19,2.71,1.74,0,0,0.0,16,2.29,2,3,11,0,0,0,0,0,0
ASSELBORN Sam,AS Soleuvre C,13,3,2,66.7,33,11.0,5,12,2,19,6.33,1.74,0,0,0.0,6,2.0,3,0,2,0,0,0,1,0,0
ANDRADE ALVES Kevin,Sparta Bertrange C,15,5,5,100.0,33,6.6,4,13,1,18,3.6,1.83,0,0,0.0,13,2.6,4,3,5,0,0,0,1,0,0
MUTH Raphael Cheng Somphong,Mambra Mamer,7,4,4,100.0,33,8.25,3,9,4,16,4.0,2.06,0,0,0.0,10,2.5,3,2,4,1,0,0,0,0,0
RYBARCZYK Marcin,Racing Luxembourg C,11,6,5,83.3,33,5.5,5,14,0,19,3.17,1.74,2,1,50.0,12,2.0,4,0,8,0,0,0,0,0,0
KLEPPER Max,Telstar Hesperange,11,3,3,100.0,33,11.0,5,14,0,19,6.33,1.74,4,2,50.0,9,3.0,3,0,6,0,0,0,0,0,0
FLIES Max,Sparta Bertrange C,5,4,3,75.0,33,8.25,4,11,3,18,4.5,1.83,0,0,0.0,7,1.75,3,1,2,1,0,0,0,0,0
BOUS Jerome,Nitia Bettembourg,14,7,3,42.9,33,4.71,0,3,9,12,1.71,2.75,0,0,0.0,11,1.57,2,5,4,0,0,0,0,0,0
DRUZD Michal Robert,Kordall Steelers B,11,5,4,80.0,32,6.4,3,13,1,17,3.4,1.88,0,0,0.0,15,3.0,3,2,10,0,0,0,0,0,0
SOWA Yann,Basket Esch C,11,4,4,100.0,32,8.0,14,6,2,22,5.5,1.45,4,2,50.0,7,1.75,3,1,3,0,0,0,0,0,0
HAGEN Max,Sparta Bertrange B,5,1,1,100.0,32,32.0,1,4,8,13,13.0,2.46,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0
HETTO Charel,US Heffingen C,13,3,3,100.0,32,10.67,8,12,0,20,6.67,1.6,0,0,0.0,4,1.33,2,0,2,0,0,0,0,0,0
BAUSCH Mike,Telstar Hesperange E,13,4,3,75.0,32,8.0,7,10,2,19,4.75,1.68,2,1,50.0,4,1.0,2,1,1,0,0,0,0,0,0
BARTHOLOMEY Sven,Avanti Mondorf,5,7,7,100.0,32,4.57,3,4,8,15,2.14,2.13,2,2,100.0,11,1.57,7,0,4,0,0,0,0,0,0
NTERELIS Christos,Gréngewald Hueschtert C,15,5,5,100.0,32,6.4,4,14,0,18,3.6,1.78,2,1,50.0,5,1.0,1,0,4,0,0,0,0,0,0
SCHWARZ Noah,Basket Esch D,4,2,2,100.0,32,16.0,6,10,2,18,9.0,1.78,0,0,0.0,6,3.0,3,0,3,0,0,0,0,0,0
BRITO RIVERA DE JESUS Rafael Benitovitch,Black Frogs Schieren,10,8,1,12.5,32,4.0,4,14,1,19,2.38,1.68,2,1,50.0,11,1.38,2,2,7,0,0,0,0,0,0
GILLET Yves,BC Mess B,5,6,2,33.3,32,5.33,4,14,0,18,3.0,1.78,2,2,100.0,10,1.67,3,2,5,0,0,0,0,0,0
DEAIBES Dany,Luxembourg Phoenix,10,3,2,66.7,32,10.67,8,12,0,20,6.67,1.6,9,5,55.6,11,3.67,1,2,7,1,0,0,0,0,0
BRAUN EP. KDISS Olivier Pierre Marie,Rebound Préizerdaul,15,2,2,100.0,32,16.0,0,13,2,15,7.5,2.13,0,0,0.0,5,2.5,2,1,2,0,0,0,0,0,0
KUNZ Daniel,BBC East Side Pirates B,12,5,5,100.0,31,6.2,5,10,2,17,3.4,1.82,6,3,50.0,10,2.0,1,4,5,0,0,0,0,0,0
MELCHER Ben,Amicale Steesel C,4,3,1,33.3,31,10.33,5,10,2,17,5.67,1.82,0,0,0.0,4,1.33,2,1,1,0,0,0,0,0,0
UDING Tom,North Fox,12,7,7,100.0,31,4.43,5,13,0,18,2.57,1.72,0,0,0.0,12,1.71,4,2,6,0,0,0,0,0,0
KAPGEN Tom,Amicale Steesel C,5,4,3,75.0,31,7.75,2,13,1,16,4.0,1.94,2,1,50.0,11,2.75,5,0,5,0,0,0,1,0,0
URWALD Sam,Gréngewald Hueschtert,8,7,0,0.0,31,4.43,7,6,4,17,2.43,1.82,8,4,50.0,8,1.14,3,1,4,0,0,0,0,0,0
WOLF Christian,Sparta Bertrange C,10,6,2,33.3,31,5.17,3,14,0,17,2.83,1.82,3,3,100.0,14,2.33,6,1,7,0,0,0,0,0,0
RODRIGUES-MACHADO Leandro,Black Frogs Schieren,5,7,1,14.3,31,4.43,3,8,4,15,2.14,2.07,0,0,0.0,10,1.43,5,0,5,0,0,0,0,0,0
ZENNERS Eric,Etzella Ettelbruck,11,7,7,100.0,30,4.29,5,11,1,17,2.43,1.76,0,0,0.0,24,3.43,12,2,9,0,1,0,0,0,0
NEYEN Jeffrey,Avanti Mondorf B,4,4,4,100.0,30,7.5,0,3,8,11,2.75,2.73,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0
REICHLING Benni,Avanti Mondorf,7,7,5,71.4,30,4.29,4,10,2,16,2.29,1.88,3,2,66.7,6,0.86,1,0,5,0,0,0,0,0,0
SCHMITZ Sebastien,North Fox B,6,2,1,50.0,30,15.0,3,6,5,14,7.0,2.14,0,0,0.0,3,1.5,1,0,2,0,0,0,0,0,0
DOBBIN VIEIRA Peter-James,Sparta Bertrange B,4,4,1,25.0,30,7.5,4,7,4,15,3.75,2.0,0,0,0.0,13,3.25,2,1,7,0,1,1,1,0,1
MOUSEL MOUNDA Nadjahou,North Fox B,11,2,2,100.0,30,15.0,1,10,3,14,7.0,2.14,0,0,0.0,2,1.0,2,0,0,0,0,0,0,0,0
KHAZZAKA Joseph,Luxembourg Phoenix,13,5,4,80.0,30,6.0,5,11,1,17,3.4,1.76,6,3,50.0,17,3.4,6,1,7,0,1,0,2,0,0
LENERT Christophe Elie Claude,Black Star Mersch C,9,4,4,100.0,30,7.5,6,12,0,18,4.5,1.67,0,0,0.0,7,1.75,3,1,3,0,0,0,0,0,0
HEIDERSCHEID Max Charel Pol,Black Star Mersch C,13,4,4,100.0,30,7.5,2,5,6,13,3.25,2.31,0,0,0.0,11,2.75,2,2,6,0,0,0,1,0,0
SIJARIC Amar,BBC Dikrich,6,3,2,66.7,30,10.0,3,9,3,15,5.0,2.0,0,0,0.0,10,3.33,3,1,6,0,0,0,0,0,0
ROCK Max,Telstar Hesperange D,9,4,4,100.0,30,7.5,1,1,9,11,2.75,2.73,0,0,0.0,12,3.0,2,2,7,1,0,0,0,0,0
ROCHA Michael Domingues,North Fox B,10,2,2,100.0,30,15.0,0,10,3,13,6.5,2.31,0,0,0.0,1,0.5,0,1,0,0,0,0,0,0,0
DEMONTIS Cedric,AS Soleuvre C,4,3,3,100.0,30,10.0,7,7,3,17,5.67,1.76,0,0,0.0,5,1.67,3,0,2,0,0,0,0,0,0
MIKALAUSKAS Povilas,Mambra Mamer,4,6,4,66.7,30,5.0,2,8,3,13,2.17,2.31,4,2,50.0,15,2.5,5,4,4,1,0,0,1,0,0
FAYE Badara Seck,Nitia Bettembourg,13,5,2,40.0,29,5.8,3,13,0,16,3.2,1.81,4,2,50.0,14,2.8,5,4,5,0,0,0,0,0,0
KABOTH Jordan,Telstar Hesperange,5,4,4,100.0,29,7.25,5,11,0,16,4.0,1.81,6,2,33.3,7,1.75,0,1,6,0,0,0,0,0,0
LE SAYEC Yves,Racing Luxembourg B,9,4,4,100.0,29,7.25,6,5,5,16,4.0,1.81,4,2,50.0,13,3.25,2,1,9,0,0,0,1,0,0
